index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
331,WarGames,tt0086567,"Lawrence Lasker, Walter F. Parkes","A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",Nominated for 3 Oscars. Another 4 wins & 11 nominations.,77,movie
332,The Outsiders,tt0086066,"Kathleen Rowell (screenplay), S.E. Hinton (novel)","The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.",1 win & 3 nominations.,41,movie
333,Trading Places,tt0086465,"Timothy Harris, Herschel Weingrod",A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,69,movie
334,Krull,tt0085811,Stanford Sherman,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,1 win & 5 nominations.,45,movie
335,Never Say Never Again,tt0086006,"Kevin McClory (based on an original story by), Jack Whittingham (based on an original story by), Ian Fleming (based on an original story by), Lorenzo Semple Jr. (screenplay)","A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,68,movie
336,Superman III,tt0086393,"Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), David Newman (screenplay by), Leslie Newman (screenplay by)",Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.,2 wins & 7 nominations.,44,movie
337,Octopussy,tt0086034,"George MacDonald Fraser (screen story and screenplay), Richard Maibaum (screen story and screenplay), Michael G. Wilson (screen story and screenplay)","A fake Fabergé egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.",2 wins & 3 nominations.,63,movie
338,Yentl,tt0086619,"Jack Rosenthal (screenplay), Barbra Streisand (screenplay), Isaac Bashevis Singer (story ""Yentl,  the Yeshiva Boy"")",A Jewish girl disguises herself as a boy to enter religious training.,Won 1 Oscar. Another 5 wins & 14 nominations.,N/A,movie
339,Star Wars: Episode VI - Return of the Jedi,tt0086190,"Lawrence Kasdan (screenplay by), George Lucas (screenplay by), George Lucas (story by)","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Nominated for 4 Oscars. Another 20 wins & 16 nominations.,58,movie
340,Scarface,tt0086250,Oliver Stone (screenplay by),"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Nominated for 3 Golden Globes. Another 4 nominations.,65,movie
341,The Right Stuff,tt0086197,"Philip Kaufman (written for the screen by), Tom Wolfe (based on the book by)","The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Won 4 Oscars. Another 7 wins & 15 nominations.,91,movie
342,The Toxic Avenger,tt0090190,"Lloyd Kaufman (story), Joe Ritter (screenplay), Lloyd Kaufman (additional material), Gay Partington Terry (additional material), Stuart Strutin (additional material)",Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.,1 nomination.,42,movie
343,The Ice Pirates,tt0087451,"Stewart Raffill, Stanford Sherman","In the far future water is the most valuable substance. Two space pirates are captured, sold to a princess, and recruited to help her find her father who disappeared when he found ...",N/A,N/A,movie
344,Repo Man,tt0087995,Alex Cox,"Young punk Otto becomes a repo man after helping to steal a car, and stumbles into a world of wackiness as a result.",2 wins & 3 nominations.,75,movie
345,The NeverEnding Story,tt0088323,"Wolfgang Petersen (screenplay by), Herman Weigel (screenplay by), Michael Ende (novel), Robert Easton (additional dialogue)",A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,5 wins & 7 nominations.,46,movie
346,C.H.U.D.,tt0087015,"Parnell Hall (screenplay), Shepard Abbott (story)",A bizarre series of sudden disappearances on the streets of New York City seems to point toward something unsavory living in the sewers.,1 win & 1 nomination.,57,movie
347,Police Academy,tt0087928,"Neal Israel (screenplay), Pat Proft (screenplay), Hugh Wilson (screenplay), Neal Israel (story), Pat Proft (story)","A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks.",1 win.,41,movie
348,Friday the 13th: The Final Chapter,tt0087298,"Victor Miller (character creator), Ron Kurz (character creator), Martin Kitrosser (character creator), Carol Watson (character creator), Barney Cohen (screenplay), Bruce Hidemi Sakow (story)","After being mortally wounded and taken to the morgue, murderer Jason Voorhees spontaneously revives and embarks on a killing spree as he makes his way back to his home at Camp Crystal Lake.",2 nominations.,33,movie
349,A Nightmare on Elm Street,tt0087800,Wes Craven,The monstrous spirit of a slain janitor seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,2 wins & 3 nominations.,76,movie
350,Conan the Destroyer,tt0087078,"Robert E. Howard (based on the character created by), Roy Thomas (story by), Gerry Conway (story by), Stanley Mann (screenplay by)",Conan leads a ragtag group of adventurers on a quest for a princess.,1 win & 3 nominations.,53,movie
351,Beverly Hills Cop,tt0086960,"Daniel Petrie Jr. (screenplay), Danilo Bach (story), Daniel Petrie Jr. (story)",A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,64,movie
352,Star Trek III: The Search for Spock,tt0088170,"Gene Roddenberry (based on ""Star Trek"" created by), Harve Bennett",Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis Planet to recover Spock's body.,1 win & 7 nominations.,56,movie
353,Gremlins,tt0087363,Chris Columbus,A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,7 wins & 6 nominations.,70,movie
354,Footloose,tt0087277,Dean Pitchford,"A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",Nominated for 2 Oscars. Another 1 win & 4 nominations.,42,movie
355,The Terminator,tt0088247,"James Cameron, Gale Anne Hurd, William Wisher (additional dialogue)","A seemingly indestructible robot is sent from 2029 to 1984 to assassinate a young waitress, whose unborn son will lead humanity in a war against sentient machines, while a human soldier from the same war is sent to protect her at all costs.",6 wins & 6 nominations.,84,movie
356,The Hotel New Hampshire,tt0087428,"John Irving (novel), Tony Richardson (screenplay)",The film talks about a family that weathers all sorts of disasters and keeps going in spite of it all. It is noted for its wonderful assortment of oddball characters.,1 win.,N/A,movie
357,Splash,tt0088161,"Brian Grazer (story), Bruce Jay Friedman (screen story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Bruce Jay Friedman (screenplay)","A young man is reunited with a mermaid who saved him from drowning as a boy. He falls in love with her, not knowing who or what she is.",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,71,movie
358,Body Double,tt0086984,"Robert J. Avrech (screenplay), Brian De Palma (screenplay), Brian De Palma (story)",A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,69,movie
359,Firestarter,tt0087262,"Stephen King (novel), Stanley Mann",A couple who participated in a potent medical experiment gain telekinetic ability and then have a child who is pyrokinetic.,2 nominations.,50,movie
360,Red Dawn,tt0087985,"Kevin Reynolds (story), John Milius (screenplay), Kevin Reynolds (screenplay)","It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town, and their country, from invading Soviet forces.",1 nomination.,55,movie
361,Sheena,tt0088103,"David Newman (screenplay), Lorenzo Semple Jr. (screenplay), David Newman (story), Leslie Stevens (story)","Sheena grew up in the African wild, raised by a mystical witch woman. When her foster mother is framed for a murder Sheena is forced to flee, helped by her ability to talk to animals and her knowledge of the jungle.",5 nominations.,N/A,movie
362,Indiana Jones and the Temple of Doom,tt0087469,"Willard Huyck (screenplay by), Gloria Katz (screenplay by), George Lucas (story by)","In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",Won 1 Oscar. Another 8 wins & 21 nominations.,57,movie
363,The Cotton Club,tt0087089,"William Kennedy (screenplay), Francis Ford Coppola (screenplay), William Kennedy (story), Francis Ford Coppola (story), Mario Puzo (story), Jim Haskins (pictorial history ""The Cotton Club"")","The Cotton Club was a famous night club in Harlem. The story follows the people who visited the club, those who ran it, and is peppered with the Jazz music that made it so famous.",Nominated for 2 Oscars. Another 1 win & 6 nominations.,68,movie
364,The Karate Kid,tt0087538,Robert Mark Kamen,A Japanese martial arts instructor agrees to teach karate to a bullied teenager.,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,60,movie
365,The Bounty,tt0086993,"Richard Hough (book), Robert Bolt (screenplay)","Fed up with their Captain's harsh discipline, a sailing ship's crew decides to take action.",2 nominations.,62,movie
366,A Passage to India,tt0087892,"E.M. Forster (by), E.M. Forster (based on the novel by), Santha Rama Rau (and the play by), David Lean (screenplay)","Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.",Won 2 Oscars. Another 19 wins & 26 nominations.,N/A,movie
367,Dune,tt0087182,"Frank Herbert (novel), David Lynch (screenplay)",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,40,movie
368,Amadeus,tt0086879,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Won 8 Oscars. Another 33 wins & 14 nominations.,88,movie
369,Once Upon a Time in America,tt0087843,"Harry Grey (novel), Leonardo Benvenuti (screenplay), Piero De Bernardi (screenplay), Enrico Medioli (screenplay), Franco Arcalli (screenplay), Franco Ferrini (screenplay), Sergio Leone (screenplay), Stuart Kaminsky (additional dialogue)","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Nominated for 2 Golden Globes. Another 11 wins & 7 nominations.,N/A,movie
370,Commando,tt0088944,"Jeph Loeb (story), Matthew Weisman (story), Steven E. de Souza (story), Steven E. de Souza (screenplay)","A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",2 nominations.,51,movie
